Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,White,Black or African American,Asian,American Indian and Alaska Native,Hawaiian and Other Pacific Islander,Two or More Mixed,Other
10304,43084.0,34.8,53168.0,27103.0,8444,19.598923034072975,20475.0,12567.0,4672.0,302,11,1284.0,3773.0
10305,42006.0,39.9,70758.0,30172.0,4464,10.627053278103128,32502.0,1759.0,5181.0,383,17,763.0,1401.0
10306,55902.0,41.4,75807.0,34834.0,3524,6.303888948517048,49154.0,1723.0,3008.0,18,0,662.0,1337.0
10307,14829.0,37.4,86457.0,36028.0,666,4.491199676309933,13912.0,91.0,486.0,5,0,183.0,152.0
10308,28939.0,42.6,88075.0,38275.0,1517,5.242060886692698,27671.0,46.0,899.0,33,0,144.0,146.0
10309,32646.0,38.5,86297.0,35719.0,2209,6.766525761195859,29873.0,818.0,1224.0,17,0,360.0,354.0
10310,25227.0,34.1,61925.0,27923.0,5477,21.71086534268839,14598.0,6498.0,1376.0,34,0,825.0,1896.0
10311,0.0,-666666666.0,-666666666.0,-666666666.0,0,,0.0,0.0,0.0,0,0,0.0,0.0
10312,60081.0,41.2,85324.0,36128.0,4077,6.785839117191791,55772.0,381.0,3089.0,32,0,468.0,339.0
10314,87276.0,41.0,77242.0,32807.0,7454,8.540721389614555,67625.0,3719.0,12140.0,110,0,1023.0,2659.0
10451,47069.0,31.2,26754.0,14629.0,17343,36.84590707259555,8068.0,20539.0,929.0,779,0,1346.0,15408.0
10452,74931.0,30.4,25979.0,13019.0,27804,37.106137646634906,11477.0,24857.0,1118.0,487,40,2153.0,34799.0
10453,79793.0,30.7,25470.0,12616.0,32478,40.70281854297996,9090.0,26322.0,1167.0,745,81,3219.0,39169.0
10454,38089.0,29.3,20232.0,11561.0,17503,45.95289978734018,12422.0,12861.0,489.0,147,0,944.0,11226.0
10455,38576.0,28.7,22609.0,12231.0,14725,38.171401907922025,6959.0,12368.0,108.0,100,59,1160.0,17822.0
10456,87723.0,30.3,23452.0,12486.0,34727,39.587109423982305,9083.0,36569.0,812.0,280,34,2775.0,38170.0
10457,70282.0,29.0,24949.0,12952.0,27579,39.240488318488374,10368.0,26048.0,1028.0,236,56,2414.0,30132.0
10458,74859.0,29.2,24618.0,14488.0,27406,36.61016043495104,15602.0,16489.0,2687.0,366,60,3063.0,36592.0
10459,47977.0,28.6,24461.0,12436.0,19146,39.90662192300477,6338.0,14609.0,298.0,242,30,1890.0,24570.0
10460,56084.0,30.0,22307.0,12828.0,22608,40.31096212823622,7381.0,15225.0,1146.0,160,0,1689.0,30483.0
10461,51730.0,38.2,52347.0,26630.0,7727,14.93717378697081,26179.0,3785.0,5433.0,235,0,1925.0,14173.0
10462,77369.0,35.3,45864.0,21836.0,15758,20.367330584601067,17838.0,21601.0,9326.0,425,22,2585.0,25572.0
10463,70420.0,38.8,54258.0,30875.0,11878,16.867367225220107,31256.0,10581.0,2637.0,405,146,3190.0,22205.0
10464,4248.0,48.7,70078.0,39454.0,266,6.261770244821093,3431.0,119.0,31.0,0,0,52.0,615.0
